Keywords,Alpha,C,kernel,Average_F1,StDv_F1,Average_Accuracy,StDv_Accuracy,Average_Precision,StDv_Precision,Average_Recall,StDv_Recall
Negative,1.75,2.75,linear,0.8778932178932178,0.09958790421954654,0.8333333333333334,0.11254628677422757,0.8498945498945499,0.14615635495232093,0.9193278943278944,0.06024375010090962
Positive,1.75,3.0,linear,0.8254857821916646,0.07868736567878969,0.7666666666666666,0.09545214042184239,0.9298809523809524,0.058226619266724136,0.7485209235209236,0.11027957266408751
Negative,1.75,3.0,linear,0.8626540126540128,0.07924665406374312,0.8,0.09428090415820636,0.8177011877011877,0.09152978479421182,0.9193217893217893,0.09329640879617597
Positive,1.75,3.25,linear,0.7795413533834585,0.07528770311086365,0.7133333333333333,0.0991071249821234,0.899496336996337,0.07188208024866166,0.7015151515151514,0.1290972220678594
Negative,1.75,3.25,linear,0.8780347768173854,0.0498419072188211,0.8133333333333332,0.07774602526460403,0.8522644022644024,0.0992710255088848,0.9219696969696969,0.08886915816371431
Positive,2.0,1.0,linear,0.790785659801678,0.09575630739091968,0.7000000000000001,0.1341640786499874,0.7780769230769231,0.13777158079211108,0.8260606060606062,0.12478779048372815
Negative,2.0,1.0,linear,0.8204041329041329,0.09926319717260484,0.7466666666666667,0.11075498483890768,0.783528971028971,0.1520701076663033,0.8869555444555445,0.11657028953730866
Positive,2.0,1.25,linear,0.8439688900038208,0.0888297733103356,0.8066666666666666,0.08666666666666668,0.8442773892773893,0.11453043349567561,0.8531709956709956,0.09859944288177194
Negative,2.0,1.25,linear,0.8544065572109052,0.07196117363822048,0.7866666666666668,0.10241527663824813,0.8123731823731823,0.09021816485933419,0.9091608391608392,0.09314225927897793
Positive,2.0,1.5,linear,0.8737420859752264,0.04922827526587587,0.8200000000000001,0.06699917080747261,0.9081954156954157,0.08577489462911043,0.8526845376845378,0.08170189301067626
Negative,2.0,1.5,linear,0.880514454002945,0.0728190439046312,0.8266666666666665,0.08537498983243799,0.8401448551448552,0.1042501796496585,0.9325324675324674,0.06011707888344841
Positive,2.0,1.75,linear,0.8454747040399214,0.0781862716188258,0.8066666666666666,0.07571877794400367,0.924642857142857,0.10043845206424291,0.78246336996337,0.07776960130003485
Negative,2.0,1.75,linear,0.9101220229046317,0.04286242569196981,0.8533333333333333,0.07180219742846006,0.8849317349317349,0.06312008794850513,0.9421911421911423,0.06338858581652619
Positive,2.0,2.0,linear,0.8106426253485077,0.10678475494033327,0.78,0.1156623438193165,0.8992063492063492,0.1138992584184777,0.7534343434343435,0.1412852587294641
Negative,2.0,2.0,linear,0.850708694813958,0.053387972889316945,0.78,0.06699917080747264,0.8259124209124209,0.0817888991298182,0.8867676767676768,0.08302292970284304
Positive,2.0,2.25,linear,0.8215689924110976,0.07630654806589127,0.76,0.09521904571390469,0.9001911976911977,0.09850111400971324,0.7674175824175824,0.10629458037686523
Negative,2.0,2.25,linear,0.8465920488529184,0.07572886824811735,0.78,0.09451631252505219,0.8270035520035519,0.1126780699868561,0.8792063492063493,0.08984519594315545
Positive,2.0,2.5,linear,0.8115191834309481,0.11131510681677222,0.76,0.13727506854649335,0.9650000000000001,0.05385164807134504,0.7150721500721501,0.15441564256849116
Negative,2.0,2.5,linear,0.866878807183155,0.050799258219301084,0.8,0.0666666666666667,0.8167454767454767,0.07353367983542732,0.9330808080808082,0.07818705447972502
Positive,2.0,2.75,linear,0.796389005731111,0.12728552521560446,0.76,0.13399834161494523,0.8997222222222222,0.10202010513546755,0.7270002220002219,0.16843107440573543
Negative,2.0,2.75,linear,0.8627899475725563,0.07772763105926347,0.7933333333333333,0.10934146311237819,0.8258658008658009,0.10217900375838132,0.9070995670995672,0.06399256846248196
Positive,2.0,3.0,linear,0.8291054559475614,0.07242328412342433,0.78,0.08969082698049143,0.9219696969696969,0.08015996403885634,0.7632792207792207,0.10920264207357876
Negative,2.0,3.0,linear,0.8398715921759401,0.08273030308126816,0.76,0.0997775303139718,0.815927405927406,0.14557273755855885,0.888070263070263,0.0791534178342854
Positive,2.0,3.25,linear,0.8245328489207209,0.06504955843775699,0.7933333333333332,0.05537749241945387,0.9593181818181818,0.06490974343955172,0.735462037962038,0.1076546001843644
